Project 页面,Slug,Target icon 目标图标,Status 状态,Notes 备注
Industrial AI SaaS Builder,industrial-ai-saas-builder,_assets/notion-icons/study-timeline-pages/industrial-ai-saas-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
Quant Agent Workspace,quant-agent-workspace,_assets/notion-icons/study-timeline-pages/quant-agent-workspace-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
CEO Finance Strategy System,ceo-finance-strategy-system,_assets/notion-icons/study-timeline-pages/ceo-finance-strategy-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
GPU ML Systems & Model Training,gpu-ml-systems-model-training,_assets/notion-icons/study-timeline-pages/gpu-ml-systems-b-tech-blue-white-v2.svg,ready_local,"Prefer v2 blue/white asset."
AI Workflow Operating System,ai-workflow-operating-system,_assets/notion-icons/study-timeline-pages/ai-workflow-os-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
Local AI Infrastructure,local-ai-infrastructure,_assets/notion-icons/study-timeline-pages/local-ai-infra-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
arXiv Q-FIN,arxiv-qfin,_assets/notion-icons/study-timeline-pages/arxiv-qfin-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
arXiv PHYS,arxiv-physics,_assets/notion-icons/study-timeline-pages/arxiv-physics-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
arXiv CS,arxiv-cs,_assets/notion-icons/study-timeline-pages/arxiv-cs-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
DLM Flow Agent Cost Sprint,dlm-flow-agent-cost-sprint,_assets/notion-icons/study-timeline-pages/dlm-flow-agent-cost-b-tech-v1.svg,ready_local,"Existing blue/white B-tech asset."
全工业体系 666 小类 ROI 学习计划,industrial-666-roi-map,_assets/notion-icons/study-timeline-pages/industrial-666-roi-map-b-tech-v1.svg,ready_local,"Created 2026-06-15; apply after Notion reauthentication."
Unknown/unmatched Codex Study Timeline child page,TBD,TBD,pending_fetch,"Must fetch database child pages after Notion reauthentication before deciding icon."
